Player,Team,Opponent,Date,Result,Minutes,Points,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TO,STL,BLK,PF,+/-,SPI
Patrick Williams,CHI,CHI @ BKN,11/26/2023,L,35,20,7,9,77.8,4,5,80.0,2,2,100,1,3,4,0,0,0,1,2,14,23.8
Coby White,CHI,CHI @ BKN,11/26/2023,L,38,23,7,16,43.8,5,12,41.7,4,4,100,1,4,5,4,0,1,1,3,7,37.0
DeMar DeRozan,CHI,CHI @ BKN,11/26/2023,L,38,27,11,22,50.0,2,4,50.0,3,5,60.0,2,4,6,6,1,0,1,2,5,45.2
Otto Porter Jr.,TOR,TOR @ CLE,11/26/2023,L,5,0,0,1,0.0,0,1,0.0,0,0,-,1,0,1,0,0,0,0,0,-4,1.2
Isaac Okoro,CLE,CLE vs. TOR,11/26/2023,W,10,2,1,3,33.3,0,1,0.0,0,0,-,0,0,0,0,0,0,1,0,-3,1.0
Precious Achiuwa,TOR,TOR @ CLE,11/26/2023,L,13,4,1,4,25.0,1,2,50.0,1,4,25.0,0,2,2,1,1,0,0,0,-15,10.9
Georges Niang,CLE,CLE vs. TOR,11/26/2023,W,23,8,3,9,33.3,2,5,40.0,0,0,-,0,6,6,3,1,0,0,4,13,22.7
Tristan Thompson,CLE,CLE vs. TOR,11/26/2023,W,7,4,2,2,100,0,0,-,0,0,-,4,0,4,4,0,0,1,0,7,13.8
Chris Boucher,TOR,TOR @ CLE,11/26/2023,L,10,5,1,2,50.0,0,0,-,3,4,75.0,2,2,4,0,1,0,1,0,-9,11.8
Caris LeVert,CLE,CLE vs. TOR,11/26/2023,W,22,7,3,10,30.0,1,4,25.0,0,0,-,0,3,3,1,0,0,0,1,6,12.1
Donovan Mitchell,CLE,CLE vs. TOR,11/26/2023,W,34,10,4,17,23.5,0,5,0.0,2,3,66.7,1,4,5,4,1,0,0,0,1,25.0
Jarrett Allen,CLE,CLE vs. TOR,11/26/2023,W,27,18,9,10,90.0,0,0,-,0,0,-,3,1,4,3,0,2,2,4,-13,31.3
Evan Mobley,CLE,CLE vs. TOR,11/26/2023,W,38,12,5,14,35.7,0,1,0.0,2,2,100,3,11,14,1,0,2,3,3,-4,33.3
Sam Hauser,BOS,BOS vs. ATL,11/26/2023,W,32,12,4,9,44.4,4,9,44.4,0,0,-,2,2,4,2,0,0,0,2,11,19.8
Jaylen Brown,BOS,BOS vs. ATL,11/26/2023,W,36,21,9,19,47.4,2,7,28.6,1,2,50.0,1,6,7,3,1,0,2,4,5,34.9
Michael Porter Jr.,DEN,DEN vs. SAS,11/26/2023,W,33,25,8,14,57.1,4,9,44.4,5,6,83.3,1,6,7,2,0,1,3,0,15,36.4
Nikola Jokic,DEN,DEN vs. SAS,11/26/2023,W,34,39,17,29,58.6,0,0,-,5,5,100,5,6,11,9,1,0,5,3,14,63.7
Devonte' Graham,SAS,SAS @ DEN,11/26/2023,L,7,2,1,2,50.0,0,1,0.0,0,0,-,0,0,0,3,0,0,0,0,8,6.5
Charles Bassey,SAS,SAS @ DEN,11/26/2023,L,15,9,3,5,60.0,0,0,-,3,3,100,2,4,6,2,0,1,1,3,-7,21.2
Sandro Mamukelashvili,SAS,SAS @ DEN,11/26/2023,L,7,0,0,0,-,0,0,-,0,0,-,0,0,0,2,1,0,0,1,8,6.0
Jalen Pickett,DEN,DEN vs. SAS,11/26/2023,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,1,-4,-1.0
Braxton Key,DEN,DEN vs. SAS,11/26/2023,W,2,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,1,0,0,0,0,-4,2.7
Collin Gillespie,DEN,DEN vs. SAS,11/26/2023,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-4,0.0
Hunter Tyson,DEN,DEN vs. SAS,11/26/2023,W,1,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-1,1.2
Jay Huff,DEN,DEN vs. SAS,11/26/2023,W,2,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-4,2.0
Julian Champagnie,SAS,SAS @ DEN,11/26/2023,L,17,13,4,8,50.0,3,6,50.0,2,4,50.0,0,1,1,1,0,1,0,1,2,18.7
Malaki Branham,SAS,SAS @ DEN,11/26/2023,L,25,15,6,11,54.5,3,5,60.0,0,0,-,1,1,2,3,1,0,0,3,-15,24.9
JT Thor,CHA,CHA @ ORL,11/26/2023,L,9,6,2,4,50.0,2,3,66.7,0,0,-,0,0,0,0,0,0,0,1,-4,6.0
Anthony Black,ORL,ORL vs. CHA,11/26/2023,W,15,2,1,4,25.0,0,1,0.0,0,0,-,0,0,0,3,0,0,0,3,-2,6.5
Joe Ingles,ORL,ORL vs. CHA,11/26/2023,W,15,0,0,3,0.0,0,1,0.0,0,0,-,0,2,2,1,1,0,2,2,0,4.9
Moritz Wagner,ORL,ORL vs. CHA,11/26/2023,W,18,11,4,7,57.1,1,2,50.0,2,2,100,2,5,7,2,0,0,2,3,7,20.4
Goga Bitadze,ORL,ORL vs. CHA,11/26/2023,W,20,11,5,7,71.4,0,0,-,1,1,100,2,5,7,3,1,0,2,4,-1,24.9
LaMelo Ball,CHA,CHA @ ORL,11/26/2023,L,15,7,3,6,50.0,1,3,33.3,0,0,-,0,1,1,2,0,0,1,0,-2,10.2
Bryce McGowens,CHA,CHA @ ORL,11/26/2023,L,6,0,0,0,-,0,0,-,0,0,-,1,1,2,1,1,0,1,2,1,5.9
Theo Maledon,CHA,CHA @ ORL,11/26/2023,L,4,0,0,0,-,0,0,-,0,0,-,0,0,0,3,0,0,0,0,1,4.5
Ish Smith,CHA,CHA @ ORL,11/26/2023,L,17,4,2,3,66.7,0,0,-,0,0,-,0,2,2,4,1,0,1,2,-13,14.4
Mark Williams,CHA,CHA @ ORL,11/26/2023,L,22,12,5,6,83.3,0,0,-,2,2,100,1,5,6,1,1,1,1,4,-11,25.7
Caleb Houstan,ORL,ORL vs. CHA,11/26/2023,W,12,6,1,2,50.0,1,2,50.0,3,3,100,1,1,2,0,0,0,0,2,17,8.4
Gary Harris,ORL,ORL vs. CHA,11/26/2023,W,24,5,2,6,33.3,1,5,20.0,0,0,-,0,0,0,6,1,0,0,2,5,17.0
Franz Wagner,ORL,ORL vs. CHA,11/26/2023,W,35,30,11,15,73.3,2,3,66.7,6,9,66.7,1,6,7,2,2,0,3,3,10,44.4
Jalen Suggs,ORL,ORL vs. CHA,11/26/2023,W,32,12,5,9,55.6,2,5,40.0,0,0,-,0,5,5,1,1,2,1,2,6,27.5
Paolo Banchero,ORL,ORL vs. CHA,11/26/2023,W,37,23,9,18,50.0,2,5,40.0,3,6,50.0,0,7,7,8,2,0,2,2,8,47.4
Cole Anthony,ORL,ORL vs. CHA,11/26/2023,W,32,30,9,16,56.3,1,3,33.3,11,12,91.7,1,6,7,7,2,1,2,3,15,55.9
Gordon Hayward,CHA,CHA @ ORL,11/26/2023,L,33,10,4,11,36.4,2,4,50.0,0,2,0.0,0,5,5,2,0,1,3,1,-15,19.0
Miles Bridges,CHA,CHA @ ORL,11/26/2023,L,37,23,9,17,52.9,1,4,25.0,4,6,66.7,3,7,10,2,1,1,3,2,-6,41.0
P.J. Washington,CHA,CHA @ ORL,11/26/2023,L,28,13,3,10,30.0,3,9,33.3,4,6,66.7,0,4,4,2,0,3,1,5,-5,28.8
Brandon Miller,CHA,CHA @ ORL,11/26/2023,L,33,20,7,11,63.6,2,3,66.7,4,5,80.0,0,5,5,1,1,0,2,5,-1,28.5
Terry Rozier,CHA,CHA @ ORL,11/26/2023,L,37,22,9,15,60.0,2,4,50.0,2,4,50.0,0,1,1,9,1,1,5,4,-10,37.7
Kentavious Caldwell-Pope,DEN,DEN vs. SAS,11/26/2023,W,31,16,5,7,71.4,2,4,50.0,4,4,100,0,1,1,6,1,0,3,3,6,26.2
Justin Holiday,DEN,DEN vs. SAS,11/26/2023,W,27,5,2,5,40.0,1,4,25.0,0,0,-,0,2,2,3,1,0,0,2,15,14.9
Derrick White,BOS,BOS vs. ATL,11/26/2023,W,37,15,5,13,38.5,0,6,0.0,5,5,100,2,2,4,11,3,0,3,5,29,42.3
Josh Okogie,PHX,PHX @ NYK,11/26/2023,W,17,3,0,5,0.0,0,3,0.0,3,4,75.0,1,3,4,2,1,0,2,3,-3,11.8
Quentin Grimes,NYK,NYK vs. PHX,11/26/2023,L,20,3,1,5,20.0,1,3,33.3,0,0,-,1,2,3,2,0,0,1,2,-8,8.6
Chimezie Metu,PHX,PHX @ NYK,11/26/2023,W,13,8,3,3,100,2,2,100,0,0,-,2,2,4,0,0,0,0,3,3,12.8
Drew Eubanks,PHX,PHX @ NYK,11/26/2023,W,15,3,1,2,50.0,0,0,-,1,2,50.0,4,2,6,1,0,0,2,4,2,9.7
Josh Hart,NYK,NYK vs. PHX,11/26/2023,L,24,4,1,3,33.3,0,2,0.0,2,2,100,0,3,3,2,0,0,0,0,1,10.6
Nassir Little,PHX,PHX @ NYK,11/26/2023,W,20,11,4,9,44.4,3,6,50.0,0,0,-,0,2,2,0,0,2,1,1,-15,18.4
Isaiah Hartenstein,NYK,NYK vs. PHX,11/26/2023,L,14,7,2,3,66.7,0,0,-,3,4,75.0,4,1,5,1,0,1,0,3,-2,17.5
Keita Bates-Diop,PHX,PHX @ NYK,11/26/2023,W,28,9,3,11,27.3,0,5,0.0,3,3,100,2,5,7,2,2,1,1,3,0,28.4
Julius Randle,NYK,NYK vs. PHX,11/26/2023,L,36,28,10,21,47.6,1,4,25.0,7,8,87.5,3,2,5,2,0,0,2,2,-9,35.0
RJ Barrett,NYK,NYK vs. PHX,11/26/2023,L,31,9,3,11,27.3,0,2,0.0,3,4,75.0,0,2,2,1,0,1,0,3,-5,15.9
Yuta Watanabe,PHX,PHX @ NYK,11/26/2023,W,15,7,2,4,50.0,2,4,50.0,1,2,50.0,0,0,0,0,0,0,0,1,5,7.0
Jordan Goodwin,PHX,PHX @ NYK,11/26/2023,W,29,14,6,10,60.0,2,3,66.7,0,0,-,3,4,7,5,1,1,0,2,7,35.9
Devin Booker,PHX,PHX @ NYK,11/26/2023,W,38,28,10,25,40.0,1,4,25.0,7,8,87.5,2,3,5,11,0,2,2,3,15,54.5
Mitchell Robinson,NYK,NYK vs. PHX,11/26/2023,L,34,3,1,2,50.0,0,0,-,1,4,25.0,5,6,11,1,1,1,1,2,-1,22.7
Jusuf Nurkic,PHX,PHX @ NYK,11/26/2023,W,33,8,4,9,44.4,0,2,0.0,0,0,-,4,6,10,4,0,4,1,2,1,37.0
Immanuel Quickley,NYK,NYK vs. PHX,11/26/2023,L,29,18,4,10,40.0,3,5,60.0,7,8,87.5,0,2,2,1,1,1,0,1,5,27.9
Eric Gordon,PHX,PHX @ NYK,11/26/2023,W,33,25,9,13,69.2,6,9,66.7,1,2,50.0,0,2,2,2,0,1,2,3,0,31.4
Damian Lillard,MIL,MIL vs. POR,11/26/2023,W,37,31,7,21,33.3,4,12,33.3,13,14,92.9,1,4,5,4,2,0,3,2,15,46.0
Tre Jones,SAS,SAS @ DEN,11/26/2023,L,22,10,4,8,50.0,0,1,0.0,2,2,100,0,4,4,6,0,0,1,2,14,22.8
Christian Braun,DEN,DEN vs. SAS,11/26/2023,W,25,5,1,5,20.0,0,1,0.0,3,4,75.0,1,3,4,4,0,0,0,1,0,15.8
Peyton Watson,DEN,DEN vs. SAS,11/26/2023,W,22,4,2,6,33.3,0,2,0.0,0,0,-,1,3,4,2,1,2,1,1,5,19.8
Devin Vassell,SAS,SAS @ DEN,11/26/2023,L,26,19,7,13,53.8,4,7,57.1,1,1,100,0,1,1,3,1,0,0,1,5,27.7
Keldon Johnson,SAS,SAS @ DEN,11/26/2023,L,31,10,3,7,42.9,0,2,0.0,4,5,80.0,0,1,1,2,0,0,0,1,-16,14.2
Zach Collins,SAS,SAS @ DEN,11/26/2023,L,21,9,4,9,44.4,1,4,25.0,0,0,-,2,2,4,3,1,0,4,4,-14,17.3
Victor Wembanyama,SAS,SAS @ DEN,11/26/2023,L,25,22,7,17,41.2,2,5,40.0,6,7,85.7,4,7,11,2,6,4,3,4,-10,65.2
DeAndre Jordan,DEN,DEN vs. SAS,11/26/2023,W,12,6,3,3,100,0,0,-,0,3,0.0,1,5,6,1,0,0,1,3,2,13.7
Cedi Osman,SAS,SAS @ DEN,11/26/2023,L,16,7,1,5,20.0,1,3,33.3,4,4,100,1,2,3,3,0,0,3,2,-9,12.1
Julian Strawther,DEN,DEN vs. SAS,11/26/2023,W,19,10,4,8,50.0,2,4,50.0,0,0,-,0,1,1,4,3,0,1,4,7,25.2
Doug McDermott,SAS,SAS @ DEN,11/26/2023,L,12,0,0,2,0.0,0,2,0.0,0,0,-,0,0,0,1,0,0,0,0,-12,1.5
Jeremy Sochan,SAS,SAS @ DEN,11/26/2023,L,17,4,2,6,33.3,0,1,0.0,0,0,-,0,2,2,3,0,0,3,0,-14,7.9
Zeke Nnaji,DEN,DEN vs. SAS,11/26/2023,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,2,-2,0.0
Donte DiVincenzo,NYK,NYK vs. PHX,11/26/2023,L,14,6,2,6,33.3,2,3,66.7,0,0,-,0,1,1,0,2,0,0,1,-1,13.2
Jalen Brunson,NYK,NYK vs. PHX,11/26/2023,L,38,35,15,25,60.0,5,10,50.0,0,2,0.0,0,6,6,8,3,1,2,5,5,64.2
Seth Curry,DAL,DAL @ LAC,11/25/2023,L,8,3,1,5,20.0,1,4,25.0,0,0,-,0,0,0,0,0,0,0,2,-4,3.0
Kobe Brown,LAC,LAC vs. DAL,11/25/2023,W,5,0,0,2,0.0,0,1,0.0,0,0,-,1,2,3,0,0,0,0,0,-1,3.6
Moussa Diabate,LAC,LAC vs. DAL,11/25/2023,W,5,1,0,2,0.0,0,0,-,1,2,50.0,2,0,2,0,1,0,0,0,-1,6.4
Jalen Johnson,ATL,ATL @ WAS,11/25/2023,W,8,8,3,4,75.0,1,2,50.0,1,2,50.0,1,0,1,1,2,1,0,0,7,19.7
Deni Avdija,WAS,WAS vs. ATL,11/25/2023,L,17,9,3,8,37.5,1,4,25.0,2,2,100,1,5,6,2,0,0,3,2,-17,16.2
Clint Capela,ATL,ATL @ WAS,11/25/2023,W,18,12,6,14,42.9,0,0,-,0,2,0.0,7,4,11,1,0,0,0,2,21,26.7
Kyle Kuzma,WAS,WAS vs. ATL,11/25/2023,L,25,12,4,10,40.0,2,5,40.0,2,2,100,2,5,7,8,0,0,5,1,-25,27.4
Daniel Gafford,WAS,WAS vs. ATL,11/25/2023,L,18,12,6,8,75.0,0,0,-,0,0,-,1,3,4,0,0,2,0,2,-18,22.8
Corey Kispert,WAS,WAS vs. ATL,11/25/2023,L,28,10,3,14,21.4,1,10,10.0,3,3,100,0,1,1,2,0,0,0,2,-28,14.2
Tyus Jones,WAS,WAS vs. ATL,11/25/2023,L,24,4,2,6,33.3,0,3,0.0,0,0,-,1,1,2,4,0,0,2,1,-18,10.4
Wesley Matthews,ATL,ATL @ WAS,11/25/2023,W,8,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,1,0,0,0,0,-6,1.5
Dejounte Murray,ATL,ATL @ WAS,11/25/2023,W,27,11,4,14,28.6,1,6,16.7,2,2,100,0,5,5,10,4,0,0,0,19,44.0
Mike Muscala,WAS,WAS vs. ATL,11/25/2023,L,18,5,2,3,66.7,1,2,50.0,0,0,-,0,6,6,4,0,2,1,0,-8,23.2
Landry Shamet,WAS,WAS vs. ATL,11/25/2023,L,17,12,5,9,55.6,2,5,40.0,0,0,-,0,1,1,2,0,0,1,1,-18,15.2
Trae Young,ATL,ATL @ WAS,11/25/2023,W,30,26,9,17,52.9,5,8,62.5,3,3,100,0,6,6,10,2,0,2,1,40,52.2
Bogdan Bogdanovic,ATL,ATL @ WAS,11/25/2023,W,21,15,6,9,66.7,3,3,100,0,1,0.0,0,3,3,1,1,0,2,3,13,21.1
Saddiq Bey,ATL,ATL @ WAS,11/25/2023,W,32,13,6,14,42.9,0,4,0.0,1,2,50.0,3,6,9,1,1,0,1,1,30,27.3
Onyeka Okongwu,ATL,ATL @ WAS,11/25/2023,W,25,9,3,6,50.0,0,1,0.0,3,4,75.0,3,3,6,1,1,1,0,2,9,23.7
De'Andre Hunter,ATL,ATL @ WAS,11/25/2023,W,31,20,7,11,63.6,3,5,60.0,3,3,100,1,3,4,0,2,0,2,4,21,28.8
Bruno Fernando,ATL,ATL @ WAS,11/25/2023,W,5,5,2,2,100,0,0,-,1,1,100,1,0,1,0,0,0,1,0,-2,5.2
Garrison Mathews,ATL,ATL @ WAS,11/25/2023,W,14,6,2,3,66.7,2,3,66.7,0,0,-,1,1,2,1,0,0,0,1,1,9.9
AJ Griffin,ATL,ATL @ WAS,11/25/2023,W,6,6,2,3,66.7,2,3,66.7,0,0,-,0,0,0,0,0,0,0,0,-4,6.0
Patty Mills,ATL,ATL @ WAS,11/25/2023,W,5,3,1,2,50.0,1,1,100,0,0,-,0,1,1,0,0,0,0,0,-2,4.2
Anthony Gill,WAS,WAS vs. ATL,11/25/2023,L,18,10,4,6,66.7,0,1,0.0,2,2,100,1,2,3,1,0,0,2,1,-8,13.1
Eugene Omoruyi,WAS,WAS vs. ATL,11/25/2023,L,12,10,4,6,66.7,0,1,0.0,2,2,100,2,1,3,1,1,0,0,1,1,18.1
Johnny Davis,WAS,WAS vs. ATL,11/25/2023,L,16,4,2,5,40.0,0,1,0.0,0,0,-,0,3,3,2,1,0,1,1,5,12.6
Bilal Coulibaly,WAS,WAS vs. ATL,11/25/2023,L,32,7,3,5,60.0,1,2,50.0,0,0,-,0,3,3,2,1,1,3,1,-1,16.6
Jared Butler,WAS,WAS vs. ATL,11/25/2023,L,16,13,5,8,62.5,2,4,50.0,1,1,100,0,2,2,5,2,1,2,4,-5,29.9
Trent Forrest,ATL,ATL @ WAS,11/25/2023,W,9,2,1,2,50.0,0,0,-,0,0,-,0,0,0,2,0,0,1,1,-7,4.0
Richaun Holmes,DAL,DAL @ LAC,11/25/2023,L,21,0,0,4,0.0,0,0,-,0,2,0.0,2,3,5,1,0,2,0,3,-6,13.5
D'Angelo Russell,LAL,LAL @ CLE,11/25/2023,W,32,10,4,12,33.3,2,6,33.3,0,0,-,0,5,5,5,2,0,4,3,3,25.5
Kris Dunn,UTA,UTA vs. NOP,11/25/2023,W,19,8,4,7,57.1,0,0,-,0,0,-,1,2,3,2,2,0,2,3,2,18.6
Naji Marshall,NOP,NOP @ UTA,11/25/2023,L,21,5,2,6,33.3,1,2,50.0,0,0,-,0,3,3,4,0,0,0,1,-2,14.6
Jonas Valanciunas,NOP,NOP @ UTA,11/25/2023,L,26,8,3,10,30.0,0,2,0.0,2,4,50.0,5,2,7,2,1,0,1,2,-17,21.4
Walker Kessler,UTA,UTA vs. NOP,11/25/2023,W,21,11,5,10,50.0,0,1,0.0,1,1,100,6,5,11,0,1,2,3,5,-1,30.2
Larry Nance Jr.,NOP,NOP @ UTA,11/25/2023,L,12,0,0,0,-,0,0,-,0,0,-,1,2,3,0,3,0,1,1,-2,11.6
Talen Horton-Tucker,UTA,UTA vs. NOP,11/25/2023,W,22,5,2,5,40.0,1,3,33.3,0,0,-,0,3,3,4,0,0,2,1,9,12.6
Ochai Agbaji,UTA,UTA vs. NOP,11/25/2023,W,22,9,3,8,37.5,2,7,28.6,1,1,100,0,1,1,3,3,0,1,1,5,22.7
Kelly Olynyk,UTA,UTA vs. NOP,11/25/2023,W,24,13,4,6,66.7,3,3,100,2,2,100,1,5,6,3,1,1,3,0,11,27.7
Omer Yurtseven,UTA,UTA vs. NOP,11/25/2023,W,27,6,3,6,50.0,0,3,0.0,0,0,-,2,5,7,0,1,2,0,0,4,23.4
Collin Sexton,UTA,UTA vs. NOP,11/25/2023,W,28,16,5,13,38.5,3,8,37.5,3,4,75.0,2,1,3,6,0,0,2,0,3,26.6
Jordan Hawkins,NOP,NOP @ UTA,11/25/2023,L,40,25,8,17,47.1,5,12,41.7,4,5,80.0,1,5,6,3,1,0,4,1,4,35.7
Cody Zeller,NOP,NOP @ UTA,11/25/2023,L,21,4,2,2,100,0,0,-,0,0,-,2,4,6,5,0,1,0,0,14,21.7
Simone Fontecchio,UTA,UTA vs. NOP,11/25/2023,W,26,10,3,8,37.5,2,7,28.6,2,2,100,0,3,3,0,0,1,2,1,0,14.6
Dyson Daniels,NOP,NOP @ UTA,11/25/2023,L,34,6,3,14,21.4,0,6,0.0,0,1,0.0,1,5,6,5,6,1,5,1,-18,36.7
Jose Alvarado,NOP,NOP @ UTA,11/25/2023,L,23,13,5,11,45.5,3,6,50.0,0,0,-,1,3,4,3,2,1,0,4,11,31.3
Brandon Ingram,NOP,NOP @ UTA,11/25/2023,L,37,26,10,22,45.5,1,4,25.0,5,8,62.5,1,5,6,8,1,0,1,4,3,47.2
Herbert Jones,NOP,NOP @ UTA,11/25/2023,L,26,13,6,11,54.5,1,4,25.0,0,0,-,1,0,1,1,1,1,1,3,-18,20.7
John Collins,UTA,UTA vs. NOP,11/25/2023,W,23,12,5,11,45.5,0,2,0.0,2,2,100,2,7,9,0,0,0,3,1,-6,19.8
Keyonte George,UTA,UTA vs. NOP,11/25/2023,W,27,15,4,13,30.8,4,9,44.4,3,5,60.0,0,6,6,5,0,0,5,1,-2,24.7
Darius Garland,CLE,CLE vs. LAL,11/25/2023,L,14,6,2,6,33.3,0,1,0.0,2,2,100,0,1,1,3,1,0,2,1,-3,12.7
Isaac Okoro,CLE,CLE vs. LAL,11/25/2023,L,19,5,2,3,66.7,0,0,-,1,1,100,1,2,3,0,0,1,2,1,7,9.6
Christian Wood,LAL,LAL @ CLE,11/25/2023,W,17,13,5,7,71.4,2,3,66.7,1,1,100,1,2,3,0,0,0,1,1,-8,15.6
Georges Niang,CLE,CLE vs. LAL,11/25/2023,L,23,13,5,13,38.5,3,9,33.3,0,0,-,0,2,2,1,2,0,1,2,7,21.9
Taurean Prince,LAL,LAL @ CLE,11/25/2023,W,32,7,3,8,37.5,1,3,33.3,0,0,-,0,4,4,6,1,2,0,0,12,29.8
Jaxson Hayes,LAL,LAL @ CLE,11/25/2023,W,21,10,5,5,100,0,0,-,0,0,-,0,3,3,1,0,1,1,3,14,17.1
Craig Porter Jr.,CLE,CLE vs. LAL,11/25/2023,L,17,11,5,7,71.4,1,1,100,0,0,-,0,1,1,1,0,0,1,2,-10,12.7
Anthony Davis,LAL,LAL @ CLE,11/25/2023,W,38,32,13,20,65.0,0,0,-,6,7,85.7,5,8,13,3,2,3,5,3,3,62.1
Olivier-Maxence Prosper,DAL,DAL @ LAC,11/25/2023,L,6,0,0,2,0.0,0,2,0.0,0,0,-,0,0,0,0,1,0,0,0,-1,3.0
Evan Mobley,CLE,CLE vs. LAL,11/25/2023,L,36,18,8,12,66.7,0,0,-,2,3,66.7,1,5,6,6,4,1,2,3,-5,47.2
Mikal Bridges,BKN,BKN vs. MIA,11/25/2023,W,33,24,8,19,42.1,3,6,50.0,5,5,100,1,5,6,3,2,1,3,2,16,41.7
Nic Claxton,BKN,BKN vs. MIA,11/25/2023,W,24,13,5,7,71.4,0,0,-,3,4,75.0,2,4,6,0,2,3,0,1,3,35.2
Haywood Highsmith,MIA,MIA @ BKN,11/25/2023,L,15,8,3,7,42.9,2,3,66.7,0,0,-,1,3,4,0,0,1,1,2,-22,14.8
Kevin Love,MIA,MIA @ BKN,11/25/2023,L,17,8,3,4,75.0,0,0,-,2,2,100,3,7,10,2,0,0,1,2,9,22.0
Lonnie Walker IV,BKN,BKN vs. MIA,11/25/2023,W,14,8,2,6,33.3,2,5,40.0,2,2,100,0,1,1,0,0,0,2,1,-5,7.2
Thomas Bryant,MIA,MIA @ BKN,11/25/2023,L,13,2,1,5,20.0,0,1,0.0,0,0,-,0,1,1,0,1,0,2,1,-17,4.2
Josh Giddey,OKC,OKC vs. PHI,11/25/2023,L,26,10,4,12,33.3,0,1,0.0,2,2,100,3,4,7,8,0,0,1,4,-13,29.4
Tyrese Maxey,PHI,PHI @ OKC,11/25/2023,W,41,28,8,17,47.1,3,9,33.3,9,11,81.8,1,7,8,3,0,1,1,5,6,44.1
Robert Covington,PHI,PHI @ OKC,11/25/2023,W,21,9,3,5,60.0,2,3,66.7,1,2,50.0,0,1,1,0,1,1,0,5,-8,16.2
Tobias Harris,PHI,PHI @ OKC,11/25/2023,W,31,16,6,13,46.2,1,5,20.0,3,3,100,0,5,5,6,0,0,3,3,20,28.0
Patrick Beverley,PHI,PHI @ OKC,11/25/2023,W,21,6,2,5,40.0,1,3,33.3,1,2,50.0,2,2,4,4,0,0,0,1,-10,16.8
Kenrich Williams,OKC,OKC vs. PHI,11/25/2023,L,19,11,4,5,80.0,2,3,66.7,1,2,50.0,0,2,2,2,1,0,0,2,-3,19.4
Davis Bertans,OKC,OKC vs. PHI,11/25/2023,L,10,5,1,3,33.3,1,2,50.0,2,3,66.7,0,1,1,1,0,0,0,2,9,7.7
Chet Holmgren,OKC,OKC vs. PHI,11/25/2023,L,32,33,13,21,61.9,5,11,45.5,2,2,100,1,5,6,2,0,3,1,3,4,51.2
Isaiah Joe,OKC,OKC vs. PHI,11/25/2023,L,26,13,4,14,28.6,3,12,25.0,2,2,100,0,3,3,2,0,0,0,3,3,19.6
Shai Gilgeous-Alexander,OKC,OKC vs. PHI,11/25/2023,L,36,31,10,21,47.6,1,2,50.0,10,10,100,3,3,6,5,2,0,1,3,1,50.7
Aaron Wiggins,OKC,OKC vs. PHI,11/25/2023,L,20,7,2,4,50.0,1,3,33.3,2,4,50.0,2,1,3,1,0,0,0,1,0,12.1
Joel Embiid,PHI,PHI @ OKC,11/25/2023,W,37,35,8,18,44.4,0,4,0.0,19,21,90.5,4,7,11,9,1,4,4,5,7,72.7
De'Anthony Melton,PHI,PHI @ OKC,11/25/2023,W,30,14,5,12,41.7,3,8,37.5,1,2,50.0,3,4,7,5,0,1,0,3,4,32.9
Nicolas Batum,PHI,PHI @ OKC,11/25/2023,W,32,14,4,7,57.1,3,6,50.0,3,4,75.0,4,3,7,3,0,2,1,0,14,31.9
Jaylin Williams,OKC,OKC vs. PHI,11/25/2023,L,26,8,3,9,33.3,2,5,40.0,0,0,-,1,5,6,5,0,0,0,4,-1,22.7
Marcus Morris Sr.,PHI,PHI @ OKC,11/25/2023,W,15,0,0,2,0.0,0,2,0.0,0,0,-,1,2,3,0,0,0,1,3,-10,2.6
Paul Reed,PHI,PHI @ OKC,11/25/2023,W,11,5,2,4,50.0,1,1,100,0,0,-,2,1,3,0,0,0,2,1,-3,6.6
Luguentz Dort,OKC,OKC vs. PHI,11/25/2023,L,25,5,2,5,40.0,1,3,33.3,0,1,0.0,1,1,2,0,0,0,1,3,-13,6.4
Cason Wallace,OKC,OKC vs. PHI,11/25/2023,L,14,0,0,2,0.0,0,0,-,0,0,-,1,0,1,1,0,0,0,1,-15,2.7
Ousmane Dieng,OKC,OKC vs. PHI,11/25/2023,L,8,0,0,2,0.0,0,1,0.0,0,0,-,1,0,1,2,0,0,0,1,8,4.2
Caris LeVert,CLE,CLE vs. LAL,11/25/2023,L,26,6,3,9,33.3,0,4,0.0,0,0,-,0,1,1,8,1,0,0,2,-2,22.2
Jarrett Allen,CLE,CLE vs. LAL,11/25/2023,L,37,21,9,12,75.0,0,0,-,3,4,75.0,5,9,14,3,3,2,2,3,-3,55.3
Donovan Mitchell,CLE,CLE vs. LAL,11/25/2023,L,35,22,4,18,22.2,2,6,33.3,12,13,92.3,0,5,5,6,1,0,1,0,-2,39.0
LeBron James,LAL,LAL @ CLE,11/25/2023,W,36,22,8,23,34.8,1,9,11.1,5,7,71.4,1,5,6,6,2,2,4,1,2,46.2
